company_mart.name,company_mart.deleted_week,company_mart.registration_week,company_mart.account_type
deleted_Radhakrishna Enterprises,2020-08-31,2020-05-18,Buyer
deleted_R and R cleaning service,2020-08-31,2020-05-18,Buyer
deleted_rich         services,2020-08-31,2020-05-18,Buyer
deleted_1985,2020-08-31,2020-05-18,Buyer
deleted_Salonplus Baltic OU,2020-08-31,2020-05-18,Buyer
deleted_Sanitise Ireland,2020-08-31,2020-05-18,Buyer
deleted_satya,2020-08-31,2020-05-18,Buyer
deleted_sauber eu,2020-08-31,2020-05-18,Buyer
deleted_SAVEMA INOVACIJE,2020-08-31,2020-05-18,Buyer
deleted_SECMA,2020-08-31,2020-05-18,Buyer
deleted_SETHI IMPEX,2020-08-31,2020-05-18,Buyer
deleted_Skon SkinCare,2020-08-31,2020-05-18,Buyer
deleted_South Indian Trading Company,2020-08-31,2020-05-18,Buyer
deleted_Specialmix,2020-08-31,2020-05-18,Buyer
deleted_Srilab,2020-08-31,2020-05-18,Buyer
deleted_Sterilab Uk,2020-08-31,2020-05-18,Buyer
deleted_svenssonskonsultants,2020-08-31,2020-05-18,Buyer
"deleted_SVYDIS, JSC",2020-08-31,2020-05-18,Buyer
deleted_The Cheshire Clean,2020-08-31,2020-05-18,Buyer
deleted_The Vernon Dental Practice,2020-08-31,2020-05-18,Buyer
deleted_The Vita Group,2020-08-31,2020-05-18,Buyer
deleted_tortrade ltd,2020-08-31,2020-05-18,Buyer
deleted_Track-Tight,2020-08-31,2020-05-18,Buyer
"deleted_Triboscience & Engineering, Inc.",2020-08-31,2020-05-18,Buyer
deleted_Unprecedented Solutions,2020-08-31,2020-05-18,Buyer
deleted_Varaha impex,2020-08-31,2020-05-18,Buyer
deleted_vegesna biosolutions,2020-08-31,2020-05-18,Buyer
deleted_-,2020-08-31,2020-05-18,Buyer
deleted_vermabuiltmat,2020-08-31,2020-05-18,Buyer
deleted_Vij Pack,2020-08-31,2020-05-18,Buyer
deleted_WAG,2020-08-31,2020-05-18,Buyer
deleted_Wall factory,2020-08-31,2020-05-18,Buyer
deleted_xyz,2020-08-31,2020-05-18,Buyer
TEKNOVA MATBAACILIK KIMYA SANAYI VE TICARET A.S.,,2020-05-18,Buyer
SVYDIS,,2020-05-18,Buyer
Sterilab uk Ltd,,2020-05-18,Buyer
deleted_Natalie Group Sdn Bhd,2020-08-31,2020-05-25,Buyer
Setas Kimya,,2020-05-25,Buyer
"Seire Products, S.L.",,2020-05-25,Buyer
Sapici Spa,,2020-05-25,Buyer
RESIPOLY CHRYSOR,,2020-05-25,Buyer
renner coatings chile spa,,2020-05-25,Buyer
PyroTech,,2020-05-25,Buyer
Prince pharma,,2020-05-25,Buyer
PREMPLAS TECHNOLOGIES PTE LTD,,2020-05-25,Buyer
Mecarnic Technologies Pvt Ltd,,2020-05-25,Buyer
KPL International Ltd,,2020-05-25,Buyer
kashiv biosciences pvt ltd,,2020-05-25,Buyer
Kalka Maja Baltic,,2020-05-25,Buyer
Jotun Paints (Europe) Ltd,,2020-05-25,Buyer
HIRA BOYA,,2020-05-25,Buyer
EXOMCHIM SAS,,2020-05-25,Buyer
Excell Agency,,2020-05-25,Buyer
coatpro SIA,,2020-05-25,Buyer
"CBC Co., Ltd.",,2020-05-25,Buyer
Batchwerk GmbH,,2020-05-25,Buyer
BASF US,,2020-05-25,Buyer
ARON UNIVERSAL LTD,,2020-05-25,Buyer
AQUA TEST KITS LTD,,2020-05-25,Buyer
Almy doo,,2020-05-25,Buyer
Accumeasure Systems Private Limited,,2020-05-25,Buyer
deleted_AmericaBio,2020-08-31,2020-05-25,Buyer
deleted_ANDERS COLOMBIA SAS,2020-08-31,2020-05-25,Buyer
deleted_Apothecon Pharmaceuticals Pvt. Ltd.,2020-08-31,2020-05-25,Buyer
deleted_Arachana chemicals,2020-08-31,2020-05-25,Buyer
deleted_Atlas Transport,2020-08-31,2020-05-25,Buyer
deleted_Aurena Laboratories AB,2020-08-31,2020-05-25,Buyer
deleted_BEBE TRADE,2020-08-31,2020-05-25,Buyer
deleted_BFI THAILAND,2020-08-31,2020-05-25,Buyer
deleted_BHURUKA GASES LTD,2020-08-31,2020-05-25,Buyer
deleted_Blue Green Chemical,2020-08-31,2020-05-25,Buyer
deleted_bogale,2020-08-31,2020-05-25,Buyer
deleted_Brenntag S.p.A.,2020-08-31,2020-05-25,Buyer
deleted_CASA Facility Management,2020-08-31,2020-05-25,Buyer
deleted_CASAFM,2020-08-31,2020-05-25,Buyer
deleted_CeNTI - Centre of Nanotechnology and Smart Materials,2020-08-31,2020-05-25,Buyer
deleted_Chemat,2020-08-31,2020-05-25,Buyer
deleted_Chemodex,2020-08-31,2020-05-25,Buyer
deleted_CONFINDENT CHEMICALS,2020-08-31,2020-05-25,Buyer
deleted_Conscient,2020-08-31,2020-05-25,Buyer
deleted_danonoah,2020-08-31,2020-05-25,Buyer
deleted_DCT Polymers,2020-08-31,2020-05-25,Buyer
deleted_DeeAn Arts,2020-08-31,2020-05-25,Buyer
deleted_delete_Leeson Polyurethanes Ltd,2020-08-31,2020-05-25,Buyer
deleted_delete_Werner GmbH,2020-08-31,2020-05-25,Buyer
deleted_Department of chemistry,2020-08-31,2020-05-25,Buyer
deleted_DFB,2020-08-31,2020-05-25,Buyer
deleted_Natural Soap UK,2020-08-31,2020-05-25,Buyer
deleted_dsd,2020-08-31,2020-05-25,Buyer
deleted_Dyno Inks,2020-08-31,2020-05-25,Buyer
deleted_Efinity labs ltd,2020-08-31,2020-05-25,Buyer
deleted_Eyanaoil,2020-08-31,2020-05-25,Buyer
deleted_Finwerd BV,2020-08-31,2020-05-25,Buyer
deleted_Fragrances & Fonctions,2020-08-31,2020-05-25,Buyer
delete_Jotun A/S,2020-05-25,2020-05-25,Buyer
deleted_Full face Rep Ltda,2020-08-31,2020-05-25,Buyer
deleted_Gaiazin,2020-08-31,2020-05-25,Buyer
deleted_gaurav,2020-08-31,2020-05-25,Buyer
deleted_GODET FRERES COGNAC,2020-08-31,2020-05-25,Buyer
deleted_Hamilton Housewares P Ltd.,2020-08-31,2020-05-25,Buyer
deleted_Handel Technische Produkte,2020-08-31,2020-05-25,Buyer
deleted_HEALTHMEDIC RESEARCH SDN BHD,2020-08-31,2020-05-25,Buyer
deleted_hehdhd,2020-08-31,2020-05-25,Buyer
deleted_Heizteufel,2020-08-31,2020-05-25,Buyer
deleted_Henkel GMBH,2020-08-31,2020-05-25,Buyer
deleted_HP Adhesives Pvt Ltd,2020-08-31,2020-05-25,Buyer
deleted_HSH Chemie,2020-08-31,2020-05-25,Buyer
deleted_ICL,2020-08-31,2020-05-25,Buyer
deleted_i hair extension studio,2020-08-31,2020-05-25,Buyer
deleted_indemnity ltd,2020-08-31,2020-05-25,Buyer
deleted_Individual,2020-08-31,2020-05-25,Buyer
deleted_Inox SA,2020-08-31,2020-05-25,Buyer
deleted_Isomat d.o.o.,2020-08-31,2020-05-25,Buyer
deleted_Jaunet sro,2020-08-31,2020-05-25,Buyer
deleted_Jila Industriförnödenheter AB,2020-08-31,2020-05-25,Buyer
deleted_jkey.co,2020-08-31,2020-05-25,Buyer
deleted_JL international Inc.,2020-08-31,2020-05-25,Buyer
deleted_Jotun,2020-08-31,2020-05-25,Buyer
deleted_Jotun Paints Europe Ltd.,2020-08-31,2020-05-25,Buyer
deleted_Keine,2020-08-31,2020-05-25,Buyer
deleted_KESRI STEELS LIMITED,2020-08-31,2020-05-25,Buyer
deleted_Khaira industries,2020-08-31,2020-05-25,Buyer
deleted_Kick Down,2020-08-31,2020-05-25,Buyer
"deleted_KIKA LT, UAB",2020-08-31,2020-05-25,Buyer
deleted_Klueber Lubrication,2020-08-31,2020-05-25,Buyer
"deleted_Kowa Company, Ltd.",2020-08-31,2020-05-25,Buyer
deleted_KTB PROMOTION S.R.L.,2020-08-31,2020-05-25,Buyer
deleted_latco,2020-08-31,2020-05-25,Buyer
deleted_Little Owl Cleaning Group,2020-08-31,2020-05-25,Buyer
deleted_Luck 2016 SL,2020-08-31,2020-05-25,Buyer
deleted_M81 Elements,2020-08-31,2020-05-25,Buyer
deleted_Macpac Industries Private Limited,2020-08-31,2020-05-25,Buyer
deleted_Mir  pesticides,2020-08-31,2020-05-25,Buyer
deleted_mobileclick markovic,2020-08-31,2020-05-25,Buyer
deleted_Mon.Des,2020-08-31,2020-05-25,Buyer
deleted_MP METALPLAST D.O.O.,2020-08-31,2020-05-25,Buyer
deleted_Mr,2020-08-31,2020-05-25,Buyer
deleted_n/a,2020-08-31,2020-05-25,Buyer
deleted_N/A,2020-08-31,2020-05-25,Buyer
deleted_Nam Phat Technology Company Limited,2020-08-31,2020-05-25,Buyer
Stabilit Europa slu,,2020-05-25,Buyer
deleted_Napasoft Ltd,2020-08-31,2020-05-25,Buyer
deleted_nana chem,2020-08-31,2020-05-25,Buyer
deleted_Raj associates,2020-08-31,2020-05-25,Buyer
deleted_RADIAN DENTAL,2020-08-31,2020-05-25,Buyer
deleted_queen pharm,2020-08-31,2020-05-25,Buyer
deleted_QASETEC,2020-08-31,2020-05-25,Buyer
deleted_PVZ Group LLC,2020-08-31,2020-05-25,Buyer
deleted_Proclean4u,2020-08-31,2020-05-25,Buyer
deleted_Preen Cleen,2020-08-31,2020-05-25,Buyer
deleted_Pink Ladders,2020-08-31,2020-05-25,Buyer
deleted_pietro fiorentini,2020-08-31,2020-05-25,Buyer
deleted_PHARMAFSC LTD,2020-08-31,2020-05-25,Buyer
"deleted_Pandora Production Co.,Ltd.",2020-08-31,2020-05-25,Buyer
deleted_Palm Safe,2020-08-31,2020-05-25,Buyer
deleted_Oxygen Tabac GmbH,2020-08-31,2020-05-25,Buyer
deleted_Owley Ballyhaise co cavan H12D309,2020-08-31,2020-05-25,Buyer
deleted_OWL AEROSPACE,2020-08-31,2020-05-25,Buyer
deleted_Overfly,2020-08-31,2020-05-25,Buyer
deleted_orgmacare pvt ltd,2020-08-31,2020-05-25,Buyer
"deleted_OHARA＆CO.,LTD",2020-08-31,2020-05-25,Buyer
deleted_Notebook manufacture,2020-08-31,2020-05-25,Buyer
deleted_none,2020-08-31,2020-05-25,Buyer
deleted_No Name,2020-08-31,2020-05-25,Buyer
deleted_nil,2020-08-31,2020-05-25,Buyer
deleted_Nia TRades,2020-08-31,2020-05-25,Buyer
deleted__,2020-08-31,2020-05-25,Buyer
deleted_1978,2020-08-31,2020-05-25,Buyer
deleted_AAW,2020-08-31,2020-05-25,Buyer
deleted_adbol shipping,2020-08-31,2020-05-25,Buyer
deleted_adenflex,2020-08-31,2020-05-25,Buyer
deleted_Adhere ltd,2020-08-31,2020-05-25,Buyer
deleted_AFAG,2020-08-31,2020-05-25,Buyer
deleted_AIQS,2020-08-31,2020-05-25,Buyer
deleted_Aleppo,2020-08-31,2020-05-25,Buyer
deleted_Zwilling Ballarini Italy,2020-08-31,2020-05-25,Buyer
deleted_Zlatni Prag d.o.o.,2020-08-31,2020-05-25,Buyer
deleted_zaid,2020-08-31,2020-05-25,Buyer
deleted_YAS Ltd,2020-08-31,2020-05-25,Buyer
deleted_WMP Rainer Stillert GmbH,2020-08-31,2020-05-25,Buyer
deleted_witmans industries pvt ltd,2020-08-31,2020-05-25,Buyer
deleted_We18 Trends,2020-08-31,2020-05-25,Buyer
deleted_Wanbury Ltd,2020-08-31,2020-05-25,Buyer
deleted_Vito,2020-08-31,2020-05-25,Buyer
deleted_Vijayalakshmi chemicals,2020-08-31,2020-05-25,Buyer
deleted_Viaggio bags ltd,2020-08-31,2020-05-25,Buyer
deleted_United pharma and surgicals,2020-08-31,2020-05-25,Buyer
deleted_Uniphos INTERNATIONAL Limited,2020-08-31,2020-05-25,Buyer
deleted_Udruga Priznajem,2020-08-31,2020-05-25,Buyer
deleted_TTL Creations,2020-08-31,2020-05-25,Buyer
deleted_Tripura Chemicals,2020-08-31,2020-05-25,Buyer
deleted_Tripont Foto VideoKft,2020-08-31,2020-05-25,Buyer
deleted_Totalis,2020-08-31,2020-05-25,Buyer
deleted_tata steel,2020-08-31,2020-05-25,Buyer
deleted_student,2020-08-31,2020-05-25,Buyer
deleted_Smartshop,2020-08-31,2020-05-25,Buyer
deleted_Signum fire protection india pvt ltd,2020-08-31,2020-05-25,Buyer
deleted_ShreeSamarth Tech Process Engineering and Pvt. Ltd.,2020-08-31,2020-05-25,Buyer
deleted_SHREE METALIC,2020-08-31,2020-05-25,Buyer
deleted_Self,2020-08-31,2020-05-25,Buyer
deleted_rochester farms ltd,2020-08-31,2020-05-25,Buyer
deleted_Riva Sp z o.o.,2020-08-31,2020-05-25,Buyer
deleted_RICH International Creative Haircare LLC,2020-08-31,2020-05-25,Buyer
deleted_RePPE (to be),2020-08-31,2020-05-25,Buyer
deleted_Remotech Ventures Private Limited,2020-08-31,2020-05-25,Buyer
deleted_Rekey,2020-08-31,2020-05-25,Buyer
deleted_REDA INDUSTRIAL MATERIALS LLC,2020-08-31,2020-05-25,Buyer
deleted_REDA INDUSTRIAL MATERIALS FZE,2020-08-31,2020-05-25,Buyer
deleted_RC PPE Products Pvt Ltd,2020-08-31,2020-05-25,Buyer
ZORA-ZO DOO,,2020-05-25,Buyer
ZnO Biochemical,,2020-05-25,Buyer
deleted_Evolve Solutions Int Ltd,2020-08-31,2020-06-01,Buyer
deleted_EXA LLC,2020-08-31,2020-06-01,Buyer
deleted_FH SWF,2020-08-31,2020-06-01,Buyer
deleted_Fimo Trading,2020-08-31,2020-06-01,Buyer
deleted_Formil Quimica Ltda,2020-08-31,2020-06-01,Buyer
deleted_Foyle &marine,2020-08-31,2020-06-01,Buyer
deleted_Galaxy,2020-08-31,2020-06-01,Buyer
deleted_gdc,2020-08-31,2020-06-01,Buyer
deleted_Giulio Galotta,2020-08-31,2020-06-01,Buyer
deleted_GN,2020-08-31,2020-06-01,Buyer
deleted_Grand Industrial Co.,2020-08-31,2020-06-01,Buyer
deleted_GRS,2020-08-31,2020-06-01,Buyer
deleted_Halushko,2020-08-31,2020-06-01,Buyer
deleted_HARSARU INDUSTRIES,2020-08-31,2020-06-01,Buyer
deleted_hcl,2020-08-31,2020-06-01,Buyer
deleted_HCL,2020-08-31,2020-06-01,Buyer
deleted_Hvjvgmb,2020-08-31,2020-06-01,Buyer
deleted_I don't have one,2020-08-31,2020-06-01,Buyer
deleted_ileex innovation,2020-08-31,2020-06-01,Buyer
deleted_Jaafar,2020-08-31,2020-06-01,Buyer
deleted_JAIN IMPEX,2020-08-31,2020-06-01,Buyer
deleted_Jayanag,2020-08-31,2020-06-01,Buyer
deleted_JMF Synthetics India Pvt. Ltd.,2020-08-31,2020-06-01,Buyer
deleted_Jotun Paints,2020-08-31,2020-06-01,Buyer
deleted_JTBetta.KL,2020-08-31,2020-06-01,Buyer
deleted_kk@gl,2020-08-31,2020-06-01,Buyer
deleted_Krypton Chemicals UK,2020-08-31,2020-06-01,Buyer
deleted_LEGALDRUGSSSS,2020-08-31,2020-06-01,Buyer
deleted_LGPH,2020-08-31,2020-06-01,Buyer
deleted_Loquat Group,2020-08-31,2020-06-01,Buyer
deleted_Mà ganga Pvt Ltd,2020-08-31,2020-06-01,Buyer
Zeeluxe Organic Golden Limited,,2020-06-01,Buyer
Wykamol Group Ltd,,2020-06-01,Buyer
Verbio AG,,2020-06-01,Buyer
thinkpack industries,,2020-06-01,Buyer
TENAX SIA,,2020-06-01,Buyer
Techno Prodcom Activ SRL,,2020-06-01,Buyer
Silvaprodukt d.o.o.,,2020-06-01,Buyer
SAINSBURYS PLC,,2020-06-01,Buyer
Röhm GmbH,,2020-06-01,Buyer
RIAMOLDE,,2020-06-01,Buyer
Rawat Brothers Furniture Pvt Ltd,,2020-06-01,Buyer
Proquimia S.A.,,2020-06-01,Buyer
Powertherm Contract Services Ltd,,2020-06-01,Buyer
Nor-Maali,,2020-06-01,Buyer
NAUTIX,,2020-06-01,Buyer
MIFE SRL,,2020-06-01,Buyer
MERTLER END. MAD. LTD. ŞTİ.,,2020-06-01,Buyer
maxill inc.,,2020-06-01,Buyer
Kasaa Limited,,2020-06-01,Buyer
Interprint GmbH,,2020-06-01,Buyer
Interket Limited,,2020-06-01,Buyer
Industrial Polymers & Colloids Co.,,2020-06-01,Buyer
"Golden Albatross, Lda",,2020-06-01,Buyer
GEHA SERVICES BV,,2020-06-01,Buyer
Dr. Windmann Pharma GmbH,,2020-06-01,Buyer
COMERT KAGIT VE AMBALAJ URUNLERI SAN. TIC. LTD. STI,,2020-06-01,Buyer
Chemical Shoppe Private Limited,,2020-06-01,Buyer
CERAMISPHERE PTY LIMITED,,2020-06-01,Buyer
Buttner & Co. Ltd,,2020-06-01,Buyer
"Best Medical Diet, SL",,2020-06-01,Buyer
AWS Systemtechnik GmbH,,2020-06-01,Buyer
ARREDO UFFICIO E MEDICALE SRL,,2020-06-01,Buyer
Action Products (Bristol) Ltd.,,2020-06-01,Buyer
abcr GmbH,,2020-06-01,Buyer
deleted_Windermere Ltd,2020-08-31,2020-06-01,Buyer
deleted_w99,2020-08-31,2020-06-01,Buyer
deleted_VISVAS PRODUCTS,2020-08-31,2020-06-01,Buyer
deleted_Vinit and company,2020-08-31,2020-06-01,Buyer
deleted_veer trading company,2020-08-31,2020-06-01,Buyer
deleted_Valley Casting,2020-08-31,2020-06-01,Buyer
deleted_University of Zagreb,2020-08-31,2020-06-01,Buyer
deleted_Universal Materials Incubator,2020-08-31,2020-06-01,Buyer
deleted_Unikeyterra chemical,2020-08-31,2020-06-01,Buyer
deleted_Ugarit,2020-08-31,2020-06-01,Buyer
deleted_UCS CHEMICAL SDN BHD,2020-08-31,2020-06-01,Buyer
deleted_Tripura Chemical Industry,2020-08-31,2020-06-01,Buyer
deleted_tm,2020-08-31,2020-06-01,Buyer
deleted_TECH TSUSHO INDIA INC.,2020-08-31,2020-06-01,Buyer
deleted_Sundis,2020-08-31,2020-06-01,Buyer
deleted_Sunder plastic,2020-08-31,2020-06-01,Buyer
deleted_STC,2020-08-31,2020-06-01,Buyer
deleted_sri atchay exports,2020-08-31,2020-06-01,Buyer
deleted_srd mills,2020-08-31,2020-06-01,Buyer
deleted_Speed web solution,2020-08-31,2020-06-01,Buyer
deleted_Soil Nutrition,2020-08-31,2020-06-01,Buyer
deleted_SODI Normandie,2020-08-31,2020-06-01,Buyer
deleted_SKYSKETCHINDIA,2020-08-31,2020-06-01,Buyer
deleted_SJJ Packaging Ltd.,2020-08-31,2020-06-01,Buyer
deleted_Silicon Line NV,2020-08-31,2020-06-01,Buyer
deleted_siddheshwar enterprise,2020-08-31,2020-06-01,Buyer
deleted_Siclar Nigeria limited,2020-08-31,2020-06-01,Buyer
deleted_Shree Enterprises ARY,2020-08-31,2020-06-01,Buyer
deleted_Shatyam industries,2020-08-31,2020-06-01,Buyer
deleted_Seay Enterprise,2020-08-31,2020-06-01,Buyer
deleted_SDS,2020-08-31,2020-06-01,Buyer
deleted_Sai Traders,2020-08-31,2020-06-01,Buyer
deleted_Rivanto,2020-08-31,2020-06-01,Buyer
deleted_RAM BRAHMAM TRADERS,2020-08-31,2020-06-01,Buyer
deleted_Qnet,2020-08-31,2020-06-01,Buyer
deleted_PT. ElyNaz IndoMasr Global,2020-08-31,2020-06-01,Buyer
deleted_Prodigious,2020-08-31,2020-06-01,Buyer
deleted_Pride Tanisha Scientific solutions,2020-08-31,2020-06-01,Buyer
deleted_Pour travail sur e-mail cuivre,2020-08-31,2020-06-01,Buyer
deleted_Polyplas Sdn Bhd,2020-08-31,2020-06-01,Buyer
deleted_PHA India,2020-08-31,2020-06-01,Buyer
deleted_Panelfix,2020-08-31,2020-06-01,Buyer
deleted_paleta contenporanea,2020-08-31,2020-06-01,Buyer
deleted_Oswald v. Kinsfort Holding B.V. Medical Services,2020-08-31,2020-06-01,Buyer
deleted_OMA GENERAL TRADING,2020-08-31,2020-06-01,Buyer
deleted_Observador On Time SA,2020-08-31,2020-06-01,Buyer
deleted_Nv-technics,2020-08-31,2020-06-01,Buyer
deleted_Newlook Dry Cleaners,2020-08-31,2020-06-01,Buyer
deleted_NA,2020-08-31,2020-06-01,Buyer
deleted_Mrs.,2020-08-31,2020-06-01,Buyer
deleted_Mr,2020-08-31,2020-06-01,Buyer
deleted_MOONLIGHT NOOR,2020-08-31,2020-06-01,Buyer
deleted_Molgenium,2020-08-31,2020-06-01,Buyer
deleted_Mint Innovation,2020-08-31,2020-06-01,Buyer
deleted_MESA CONSULT,2020-08-31,2020-06-01,Buyer
deleted_Color Business Solution International (CBS),2021-12-06,2020-06-01,Buyer
deleted_Maywell,2020-08-31,2020-06-01,Buyer
deleted_=,2020-08-31,2020-06-01,Buyer
deleted_충북과학고등학교,2020-08-31,2020-06-01,Buyer
deleted_2000,2020-08-31,2020-06-01,Buyer
deleted_2 MIT FRANCE,2020-08-31,2020-06-01,Buyer
deleted_acidobasique,2020-08-31,2020-06-01,Buyer
deleted_Acorn Builders,2020-08-31,2020-06-01,Buyer
deleted_ahoora teb pishro,2020-08-31,2020-06-01,Buyer
deleted_Airtel,2020-08-31,2020-06-01,Buyer
deleted_Amazing Grace,2020-08-31,2020-06-01,Buyer
deleted_amd paint and research,2020-08-31,2020-06-01,Buyer
deleted_anshika soap factory,2020-08-31,2020-06-01,Buyer
deleted_Apex Build chem,2020-08-31,2020-06-01,Buyer
deleted_Aphrodite's B.C,2020-08-31,2020-06-01,Buyer
deleted_argalus,2020-08-31,2020-06-01,Buyer
deleted_Ascot International,2020-08-31,2020-06-01,Buyer
deleted_Asian Paints,2020-08-31,2020-06-01,Buyer
deleted_association S. Hyacinthe,2020-08-31,2020-06-01,Buyer
deleted_Maxway Vietnam Company Ltd,2020-08-31,2020-06-01,Buyer
deleted_Maxway Vietnam,2020-08-31,2020-06-01,Buyer
"deleted_BALIN EUROPA,S.L.",2020-08-31,2020-06-01,Buyer
deleted_Max Planck Institute of Colloids and Interfaces,2020-08-31,2020-06-01,Buyer
deleted_Bhel,2020-08-31,2020-06-01,Buyer
deleted_Bien sur,2020-08-31,2020-06-01,Buyer
"deleted_BOPAL SK, LtD., Slovakia",2020-08-31,2020-06-01,Buyer
deleted_bremerman,2020-08-31,2020-06-01,Buyer
deleted_Broadbit batteries Oy,2020-08-31,2020-06-01,Buyer
deleted_Broker,2020-08-31,2020-06-01,Buyer
deleted_Bruna Group,2020-08-31,2020-06-01,Buyer
deleted_BRUNE & DURAND,2020-08-31,2020-06-01,Buyer
deleted_Carr Productions,2020-08-31,2020-06-01,Buyer
deleted_CeNTI,2020-08-31,2020-06-01,Buyer
deleted_centro ortopedico rinascita srl,2020-08-31,2020-06-01,Buyer
deleted_chemicals,2020-08-31,2020-06-01,Buyer
deleted_chem international korea,2020-08-31,2020-06-01,Buyer
deleted_Cogoport,2020-08-31,2020-06-01,Buyer
deleted_COLORI CHEMICAL,2020-08-31,2020-06-01,Buyer
deleted_Dads services,2020-08-31,2020-06-01,Buyer
deleted_DB United,2020-08-31,2020-06-01,Buyer
deleted_delete_BCD Chemie GmbH,2020-08-31,2020-06-01,Buyer
deleted_delete_Palmer Holland Inc.,2020-08-31,2020-06-01,Buyer
"deleted_delete_Stabilit Europa, S.L.U",2020-08-31,2020-06-01,Buyer
deleted_delete-Transmare Chemie N.V.,2020-08-31,2020-06-01,Buyer
deleted_delete_will & co,2020-08-31,2020-06-01,Buyer
deleted_dragon enterprise,2020-08-31,2020-06-01,Buyer
deleted_D  W Carlisle Ltd,2020-08-31,2020-06-01,Buyer
deleted_Manha detergents,2020-08-31,2020-06-01,Buyer
deleted_East Brothers,2020-08-31,2020-06-01,Buyer
deleted_Echangeur22,2020-08-31,2020-06-01,Buyer
deleted_EL TIRRA,2020-08-31,2020-06-01,Buyer
deleted_Euro foods,2020-08-31,2020-06-01,Buyer
deleted_ewe,2020-08-31,2020-06-01,Buyer
Nickel and Co (Suisse) SA,,2020-06-08,Buyer
REG CHEMICALS LTD,,2020-06-08,Buyer
Royal Diamond,,2020-06-08,Buyer
deleted_ggg,2020-08-31,2020-06-08,Buyer
deleted_Glenmark Lifescineces Ltd.,2020-08-31,2020-06-08,Buyer
deleted_Global tradelink,2020-08-31,2020-06-08,Buyer
deleted_Govt Job,2020-08-31,2020-06-08,Buyer
deleted_Green Rubber/Kennedy AG,2020-08-31,2020-06-08,Buyer
deleted_guruji enterprise,2020-08-31,2020-06-08,Buyer
deleted_Gyorgy Micula,2020-08-31,2020-06-08,Buyer
deleted_hcl,2020-08-31,2020-06-08,Buyer
deleted_Home,2020-08-31,2020-06-08,Buyer
deleted_HRI,2020-08-31,2020-06-08,Buyer
deleted_i am not a company,2020-08-31,2020-06-08,Buyer
deleted_Indorama,2020-08-31,2020-06-08,Buyer
deleted_INNOTEK TOOLING,2020-08-31,2020-06-08,Buyer
deleted_Inovatrading,2020-08-31,2020-06-08,Buyer
deleted_Institute of Isotopes Co. Ltd.,2020-08-31,2020-06-08,Buyer
deleted_Ismail painter,2020-08-31,2020-06-08,Buyer
deleted_italo,2020-08-31,2020-06-08,Buyer
deleted_IUT de Saint-Brieuc,2020-08-31,2020-06-08,Buyer
deleted_Jewer enterprises,2020-08-31,2020-06-08,Buyer
deleted_Jvss Bhd.,2020-08-31,2020-06-08,Buyer
deleted_KAS ALSHEIKH,2020-08-31,2020-06-08,Buyer
deleted_khaja bande nawaz traders,2020-08-31,2020-06-08,Buyer
deleted_Knowles,2020-08-31,2020-06-08,Buyer
deleted_KPL INTERNATIONAL LIMITED,2020-08-31,2020-06-08,Buyer
deleted_krishna pharma,2020-08-31,2020-06-08,Buyer
deleted_Life Hot Yoga,2020-08-31,2020-06-08,Buyer
deleted_madhu trading co.,2020-08-31,2020-06-08,Buyer
deleted_Maharani Innovative Paints Pvt. Ltd,2020-08-31,2020-06-08,Buyer
deleted_marmoline_nordia,2020-08-31,2020-06-08,Buyer
deleted_Master Paints,2020-08-31,2020-06-08,Buyer
deleted_MBTS,2020-08-31,2020-06-08,Buyer
deleted_MCGROUP,2020-08-31,2020-06-08,Buyer
deleted_Medovis Healthcare GmbH,2020-08-31,2020-06-08,Buyer
deleted_MF RECYCLAGE,2020-08-31,2020-06-08,Buyer
deleted_Midland Escape,2020-08-31,2020-06-08,Buyer
deleted_Minh Tien Ltd,2020-08-31,2020-06-08,Buyer
deleted_Mosselman.us,2020-08-31,2020-06-08,Buyer
deleted_Mr,2020-08-31,2020-06-08,Buyer
deleted_Mylan,2020-08-31,2020-06-08,Buyer
deleted_Nil,2020-08-31,2020-06-08,Buyer
deleted_Nishka Farm,2020-08-31,2020-06-08,Buyer
deleted_NKPL,2020-08-31,2020-06-08,Buyer
deleted_PanelQuest,2020-08-31,2020-06-08,Buyer
deleted_Peltec,2020-08-31,2020-06-08,Buyer
deleted_platinum industries,2020-08-31,2020-06-08,Buyer
deleted_polymerc,2020-08-31,2020-06-08,Buyer
deleted_Prakruti (Beauty product),2020-08-31,2020-06-08,Buyer
deleted_Priyanka enterprises,2020-08-31,2020-06-08,Buyer
deleted_Process Design Engg,2020-08-31,2020-06-08,Buyer
deleted_PSG,2020-08-31,2020-06-08,Buyer
deleted_Pvr traders,2020-08-31,2020-06-08,Buyer
deleted_Pyylahti Oy,2020-08-31,2020-06-08,Buyer
deleted_Quint Solutions,2020-08-31,2020-06-08,Buyer
deleted_Raj chemical,2020-08-31,2020-06-08,Buyer
deleted_Researcher,2020-08-31,2020-06-08,Buyer
deleted_RLFH Partneship,2020-08-31,2020-06-08,Buyer
deleted_RN GROUP SARL,2020-08-31,2020-06-08,Buyer
deleted_Robert Breen motors,2020-08-31,2020-06-08,Buyer
deleted_Rohit freight carrier,2020-08-31,2020-06-08,Buyer
deleted_Royalcashewnutsuppliers,2020-08-31,2020-06-08,Buyer
