,OrderDate,ShippingDate,ProductID,Zip,Units,Revenue,Currency,Product,Category
0,2010-01-15 00:00:00,2010-01-17 00:00:00,25,7825,1,792.75,USD,Abbas MA-25|All Season,Mix
1,2010-01-15 00:00:00,2010-01-19 00:00:00,25,33028,1,792.75,USD,Abbas MA-25|All Season,Mix
2,2010-01-15 00:00:00,2010-01-20 00:00:00,25,85711,1,792.75,USD,Abbas MA-25|All Season,Mix
3,2010-01-15 00:00:00,2010-01-20 00:00:00,25,86406,1,792.75,GBP,Abbas MA-25|All Season,Mix
4,2010-01-15 00:00:00,2010-01-21 00:00:00,25,70119,1,792.75,USD,Abbas MA-25|All Season,Mix
5,2010-01-15 00:00:00,2010-01-21 00:00:00,25,84092,1,792.75,USD,Abbas MA-25|All Season,Mix
6,2010-01-15 00:00:00,2010-01-21 00:00:00,25,87505,1,792.75,USD,Abbas MA-25|All Season,Mix
7,2010-01-15 00:00:00,2010-01-21 00:00:00,25,88311,1,792.75,GBP,Abbas MA-25|All Season,Mix
8,2010-01-15 00:00:00,2010-01-22 00:00:00,25,94080,1,792.75,GBP,Abbas MA-25|All Season,Mix
9,2010-01-15 00:00:00,2010-01-23 00:00:00,25,33143,1,792.75,GBP,Abbas MA-25|All Season,Mix
10,2010-01-15 00:00:00,2010-01-23 00:00:00,25,78666,1,792.75,USD,Abbas MA-25|All Season,Mix
11,2010-02-15 00:00:00,2010-02-17 00:00:00,25,2919,1,792.75,GBP,Abbas MA-25|All Season,Mix
12,2010-02-15 00:00:00,2010-02-18 00:00:00,25,33181,1,792.75,USD,Abbas MA-25|All Season,Mix
13,2010-02-15 00:00:00,2010-02-18 00:00:00,25,79763,1,792.75,GBP,Abbas MA-25|All Season,Mix
14,2010-02-15 00:00:00,2010-02-18 00:00:00,25,89414,1,792.75,GBP,Abbas MA-25|All Season,Mix
15,2010-02-15 00:00:00,2010-02-19 00:00:00,25,57434,1,792.75,GBP,Abbas MA-25|All Season,Mix
16,2010-02-15 00:00:00,2010-02-21 00:00:00,25,33133,1,792.75,USD,Abbas MA-25|All Season,Mix
17,2010-02-15 00:00:00,2010-02-21 00:00:00,25,33404,1,792.75,USD,Abbas MA-25|All Season,Mix
18,2010-02-15 00:00:00,2010-02-21 00:00:00,25,90035,1,792.75,GBP,Abbas MA-25|All Season,Mix
19,2010-02-15 00:00:00,2010-02-21 00:00:00,25,93103,1,792.75,GBP,Abbas MA-25|All Season,Mix
20,2010-02-15 00:00:00,2010-02-21 00:00:00,25,97302,1,792.75,USD,Abbas MA-25|All Season,Mix
21,2010-01-15 00:00:00,2010-01-17 00:00:00,33,97231,1,734.475,USD,Abbas MA-33|All Season,Mix
22,2010-01-15 00:00:00,2010-01-18 00:00:00,33,92029,1,734.475,USD,Abbas MA-33|All Season,Mix
23,2010-02-15 00:00:00,2010-02-21 00:00:00,33,75088,1,734.475,USD,Abbas MA-33|All Season,Mix
24,2010-01-15 00:00:00,2010-01-17 00:00:00,36,40108,1,414.75,GBP,Abbas MA-36|All Season,Mix
25,2010-01-15 00:00:00,2010-01-17 00:00:00,36,92122,1,414.75,USD,Abbas MA-36|All Season,Mix
26,2010-01-15 00:00:00,2010-01-17 00:00:00,36,92595,1,414.75,USD,Abbas MA-36|All Season,Mix
27,2010-01-15 00:00:00,2010-01-17 00:00:00,36,95037,1,414.75,GBP,Abbas MA-36|All Season,Mix
28,2010-01-15 00:00:00,2010-01-18 00:00:00,36,94930,1,414.75,GBP,Abbas MA-36|All Season,Mix
29,2010-01-15 00:00:00,2010-01-19 00:00:00,36,2568,1,414.75,GBP,Abbas MA-36|All Season,Mix
30,2010-01-15 00:00:00,2010-01-19 00:00:00,36,47710,1,414.75,USD,Abbas MA-36|All Season,Mix
31,2010-01-15 00:00:00,2010-01-19 00:00:00,36,85258,1,414.75,GBP,Abbas MA-36|All Season,Mix
32,2010-01-15 00:00:00,2010-01-19 00:00:00,36,92264,1,414.75,GBP,Abbas MA-36|All Season,Mix
33,2010-01-15 00:00:00,2010-01-19 00:00:00,36,95023,1,414.75,GBP,Abbas MA-36|All Season,Mix
34,2010-01-15 00:00:00,2010-01-20 00:00:00,36,2554,1,414.75,GBP,Abbas MA-36|All Season,Mix
35,2010-01-15 00:00:00,2010-01-20 00:00:00,36,32404,1,414.75,USD,Abbas MA-36|All Season,Mix
36,2010-01-15 00:00:00,2010-01-21 00:00:00,36,20007,1,414.75,USD,Abbas MA-36|All Season,Mix
37,2010-01-15 00:00:00,2010-01-22 00:00:00,36,94109,1,414.75,GBP,Abbas MA-36|All Season,Mix
38,2010-01-15 00:00:00,2010-01-23 00:00:00,36,41005,1,414.75,USD,Abbas MA-36|All Season,Mix
39,2010-01-15 00:00:00,2010-01-23 00:00:00,36,94550,1,414.75,GBP,Abbas MA-36|All Season,Mix
40,2010-02-15 00:00:00,2010-02-17 00:00:00,36,7647,1,414.75,USD,Abbas MA-36|All Season,Mix
41,2010-02-15 00:00:00,2010-02-17 00:00:00,36,29621,1,414.75,USD,Abbas MA-36|All Season,Mix
42,2010-02-15 00:00:00,2010-02-17 00:00:00,36,78617,1,414.75,GBP,Abbas MA-36|All Season,Mix
43,2010-02-15 00:00:00,2010-02-17 00:00:00,36,94558,1,414.75,USD,Abbas MA-36|All Season,Mix
44,2010-02-15 00:00:00,2010-02-17 00:00:00,36,95814,1,414.75,USD,Abbas MA-36|All Season,Mix
45,2010-02-15 00:00:00,2010-02-18 00:00:00,36,32803,1,414.75,GBP,Abbas MA-36|All Season,Mix
46,2010-02-15 00:00:00,2010-02-18 00:00:00,36,53221,1,414.75,USD,Abbas MA-36|All Season,Mix
47,2010-02-15 00:00:00,2010-02-18 00:00:00,36,72740,1,414.75,GBP,Abbas MA-36|All Season,Mix
48,2010-02-15 00:00:00,2010-02-18 00:00:00,36,83864,1,414.75,GBP,Abbas MA-36|All Season,Mix
49,2010-02-15 00:00:00,2010-02-18 00:00:00,36,89122,1,414.75,USD,Abbas MA-36|All Season,Mix
50,2010-02-15 00:00:00,2010-02-18 00:00:00,36,95003,1,414.75,USD,Abbas MA-36|All Season,Mix
51,2010-02-15 00:00:00,2010-02-18 00:00:00,36,95841,1,414.75,USD,Abbas MA-36|All Season,Mix
52,2010-02-15 00:00:00,2010-02-19 00:00:00,36,95030,1,414.75,GBP,Abbas MA-36|All Season,Mix
53,2010-02-15 00:00:00,2010-02-19 00:00:00,36,95066,2,829.5,GBP,Abbas MA-36|All Season,Mix
54,2010-02-15 00:00:00,2010-02-19 00:00:00,36,95401,1,414.75,GBP,Abbas MA-36|All Season,Mix
55,2010-02-15 00:00:00,2010-02-19 00:00:00,36,95616,1,414.75,GBP,Abbas MA-36|All Season,Mix
56,2010-02-15 00:00:00,2010-02-19 00:00:00,36,95630,1,414.75,USD,Abbas MA-36|All Season,Mix
57,2010-02-15 00:00:00,2010-02-20 00:00:00,36,64061,1,414.75,USD,Abbas MA-36|All Season,Mix
58,2010-02-15 00:00:00,2010-02-20 00:00:00,36,70435,1,414.75,USD,Abbas MA-36|All Season,Mix
59,2010-02-15 00:00:00,2010-02-20 00:00:00,36,92831,1,414.75,GBP,Abbas MA-36|All Season,Mix
60,2010-02-15 00:00:00,2010-02-20 00:00:00,36,95050,1,414.75,USD,Abbas MA-36|All Season,Mix
61,2010-02-15 00:00:00,2010-02-20 00:00:00,36,95670,1,414.75,GBP,Abbas MA-36|All Season,Mix
62,2010-02-15 00:00:00,2010-02-21 00:00:00,36,78737,1,414.75,GBP,Abbas MA-36|All Season,Mix
63,2010-02-15 00:00:00,2010-02-21 00:00:00,36,92008,2,829.5,GBP,Abbas MA-36|All Season,Mix
64,2010-02-15 00:00:00,2010-02-21 00:00:00,36,95624,1,414.75,USD,Abbas MA-36|All Season,Mix
65,2010-02-15 00:00:00,2010-02-21 00:00:00,36,97217,1,414.75,USD,Abbas MA-36|All Season,Mix
